"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "Ignore", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\game-page\game-page.component.spec.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 11, 104
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\game-page\game-page.component.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 7, 106
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\main-page\main-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 1, 32
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\main-page\main-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 15, 106
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\main-page\main-page.component.spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\main-page\main-page.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\selection-page\selection-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\selection-page\selection-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 1, 13
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\selection-page\selection-page.component.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\pages\selection-page\selection-page.component.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\delete-game.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\draw.service.spec.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 22, 120
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\draw.service.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 6, 22, 132
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\game.service.spec.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 12, 83
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\game.service.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 3, 20, 131
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\player-name.service.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\player-name.service.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\request-handler.service.spec.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\request-handler.service.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 6, 29
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\text-verifcation.service.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\client\src\app\services\text-verification.service.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
